species,id,number,fl,tl,wt,direction,us_clip,ds_clip,date
Brook Trout,,1,77,81,3.5,Downstream,,,1930-09-23
Brook Trout,,1,75,79,4.7,Downstream,,,1930-09-23
Common Shiner,,1,81,90,5,Downstream,,,1930-09-23
Common Shiner,,1,125,137,20,Downstream,,,1930-09-23
Common Shiner,,1,97,108,9,Downstream,,,1930-09-23
Common Shiner,,1,95,105,7.8,Downstream,,,1930-09-23
Common Shiner,,7,95,105,53.1,Downstream,,,1930-09-23
Common Shiner,,1,87,96,6.6,Downstream,,,1930-09-23
Common Shiner,,1,85,94,6.3,Downstream,,,1930-09-23
Common Shiner,,1,71,79,2.3,Downstream,,,1930-09-23
Common Shiner,,1,75,84,3,Downstream,,,1930-09-23
Common Shiner,,1,90,100,7.6,Downstream,,,1930-09-23
Common Shiner,,1,100,108,9.1,Downstream,,,1930-09-23
Common Shiner,,1,104,115,12.7,Downstream,,,1930-09-23
Common Shiner,,1,115,127,16.1,Downstream,,,1930-09-23
Common Shiner,,4,102,115,34.5,Downstream,,,1930-09-23
Common Shiner,,1,95,105,8.1,Downstream,,,1930-09-23
Common Shiner,,1,73,80,3.6,Downstream,,,1930-09-23
Common Shiner,,1,107,118,12.8,Downstream,,,1930-09-23
Common Shiner,,5,95,105,39.7,Downstream,,,1930-09-23
Common Shiner,,1,97,107,9.6,Downstream,,,1930-09-23
Creek Chub,CR5-023-CC-6,1,91,98,7.3,Downstream,,,1930-09-23
Creek Chub,,1,86,93,6.1,Downstream,,,1930-09-23
Creek Chub,,4,107,115,44.4,Downstream,,,1930-09-23
Creek Chub,,1,122,128,14.6,Downstream,,,1930-09-23
Creek Chub,,1,88,94,6.1,Downstream,,,1930-09-23
Creek Chub,,1,145,152,27.8,Downstream,,,1930-09-23
Creek Chub,,1,80,85,4.7,Downstream,,,1930-09-23
Creek Chub,,1,135,144,23.8,Downstream,,1,1930-09-23
Creek Chub,,1,125,133,29.5,Downstream,,1,1930-09-23
Creek Chub,,1,90,97,6.8,Downstream,,,1930-09-23
Golden Shiner,,1,94,104,8.7,Downstream,,,1930-09-23
Golden Shiner,,1,102,113,12,Downstream,,,1930-09-23
Golden Shiner,,3,94,104,24.5,Downstream,,,1930-09-23
Golden Shiner,,4,115,125,54.1,Downstream,,,1930-09-23
Golden Shiner,,1,87,95,7.6,Downstream,,,1930-09-23
Golden Shiner,,1,100,110,10.9,Downstream,,,1930-09-23
Golden Shiner,,2,89,98,18.1,Downstream,,,1930-09-23
Golden Shiner,,1,115,125,20,Downstream,,,1930-09-23
Golden Shiner,,2,89,97,15.1,Downstream,,,1930-09-23
Golden Shiner,,3,95,105,26.4,Downstream,,,1930-09-23
Golden Shiner,,1,94,104,8.8,Downstream,,,1930-09-23
Golden Shiner,,1,85,95,6.4,Downstream,,,1930-09-23
Golden Shiner,,1,88,96,7.1,Downstream,,,1930-09-23
Golden Shiner,,3,90,100,30,Downstream,,,1930-09-23
Golden Shiner,,1,95,104,8.8,Downstream,,,1930-09-23
Golden Shiner,,1,102,113,11.4,Downstream,,,1930-09-23
Golden Shiner,,1,92,103,8.6,Downstream,,,1930-09-23
Northern Pearl Dace,CR5-023-PD-4,1,110,117,13.3,Downstream,,,1930-09-23
Northern Pearl Dace,CR5-023-PD-5,1,86,92,5.4,Downstream,,,1930-09-23
Northern Pearl Dace,,1,91,98,8,Downstream,,,1930-09-23
Pumpkinseed,,1,67,71,5.7,Downstream,,,1930-09-23
Pumpkinseed,,3,60,63,11.8,Downstream,,,1930-09-23
Pumpkinseed,,1,53,55,2.6,Downstream,,,1930-09-23
Pumpkinseed,,bulk,70,79,63,Downstream,,,1930-09-23
Pumpkinseed,,bulk,105,111,133.9,Downstream,,,1930-09-23
Pumpkinseed,,1,103,108,17.5,Downstream,,,1930-09-23
Pumpkinseed,,8,50,53,29.4,Downstream,,,1930-09-23
Pumpkinseed,,1,82,85,11.7,Downstream,,,1930-09-23
Pumpkinseed,,1,54,57,2.7,Downstream,,,1930-09-23
Pumpkinseed,,1,50,53,2,Downstream,,,1930-09-23
Smallmouth bass,,1,109,114,19.1,Downstream,,,1930-09-23
Smallmouth bass,,1,70,74,4.9,Downstream,,,1930-09-23
Smallmouth bass,CR5-023-SMB-1,1,130,137,33.1,Downstream,,,1930-09-23
Smallmouth bass,,1,82,87,5.9,Downstream,,,1930-09-23
Smallmouth bass,,1,111,117,18.4,Downstream,,,1930-09-23
White Sucker,,1,215,228,113.2,Downstream,,,1930-09-23
White Sucker,,1,200,215,95.6,Downstream,,,1930-09-23
White Sucker,,1,225,240,130.7,Downstream,,,1930-09-23
White Sucker,,1,185,198,62.2,Downstream,,,1930-09-23
White Sucker,,1,146,155,37.5,Downstream,,,1930-09-23
White Sucker,,1,147,156,33.7,Downstream,,,1930-09-23
White Sucker,,1,87,92,6.9,Downstream,,,1930-09-23
White Sucker,,1,222,240,137.9,Downstream,,,1930-09-23
White Sucker,,3,195,208,231.9,Downstream,,,1930-09-23
White Sucker,,1,82,87,5.6,Downstream,,,1930-09-23
